sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_4_15_002,4_15,urban,6.0074,6.2977,0.1845,0.1878,0.8294,1.0,1.0,0.2828,0.5755,0.1845,262144
potsdam_4_15_003,4_15,urban,4.7434,5.2717,0.8791,0.1185,0.9872,1.0,1.0,2.5965,3.294,0.8791,262144
potsdam_4_15_004,4_15,urban,4.2383,4.6931,0.8219,0.1075,0.9619,1.0,1.0,2.6685,3.8088,0.8219,262144
potsdam_4_15_005,4_15,urban,4.6052,4.858,0.9125,0.1178,0.9996,1.0,1.0,2.1089,2.7698,0.9125,262144
potsdam_4_15_006,4_15,urban,7.876,8.2475,-0.7418,0.2111,0.4906,1.0,1.0,9.6473,10.3275,-0.7418,262144
potsdam_4_15_007,4_15,urban,5.4088,5.8095,0.1073,0.1704,0.8997,0.9999,1.0,0.4699,1.1072,0.1073,262144
potsdam_4_15_008,4_15,urban,3.8371,4.2981,0.8288,0.0946,0.97,1.0,1.0,2.3473,3.5114,0.8288,262144
potsdam_4_15_009,4_15,urban,4.1605,4.5668,0.6948,0.1208,0.9926,1.0,1.0,2.5712,3.6496,0.6948,262144
potsdam_4_15_010,4_15,urban,3.0695,3.5123,0.9549,0.0877,0.9999,1.0,1.0,1.2417,1.6549,0.9549,262144
potsdam_4_15_011,4_15,urban,2.247,2.4872,0.9442,0.0619,0.9996,1.0,1.0,1.3225,1.7788,0.9442,262144
potsdam_4_15_012,4_15,urban,4.4058,4.8811,0.3438,0.1381,0.9356,1.0,1.0,0.3928,0.6546,0.3438,262144
potsdam_4_15_013,4_15,urban,3.4604,3.8067,0.5758,0.1078,0.9682,1.0,1.0,0.5353,1.1135,0.5758,262144
potsdam_4_15_014,4_15,urban,3.2189,3.4485,0.8288,0.0962,0.9999,1.0,1.0,1.3179,2.0387,0.8288,262144
potsdam_4_15_015,4_15,urban,6.0506,6.4533,0.6086,0.1344,0.9455,1.0,1.0,2.8957,4.1308,0.6086,262144
potsdam_4_15_016,4_15,urban,4.8069,5.154,0.4687,0.1523,0.9314,1.0,1.0,0.9158,1.603,0.4687,262144
potsdam_4_15_017,4_15,urban,3.5049,3.8861,0.7902,0.1097,0.9684,0.9989,0.9999,1.1946,1.8111,0.7902,262144
